query,humanQuery
"Merges all edge between two supplied vertices into a single edge from a perspective of multi-color merging.

         Proxies a call to :meth:`BreakpointGraph._BreakpointGraph__merge_all_bgedges_between_two_vertices`

        :param vertex1: a first out of two vertices edges between which are to be merged together
        :type vertex1: any python hashable object. :class:`bg.vertex.BGVertex` is expected
        :param vertex2: a second out of two vertices edges between which are to be merged together
        :type vertex2: any python hashable object. :class:`bg.vertex.BGVertex` is expected
        :return: ``None``, performs inplace changes","""Is there a function that merges all edges between two specified vertices into a single edge, considering multi-color merging?"""
"Require a field to not exist in the results.
        Matches will not have ``field`` present.

        Arguments:
            field (str): The field to check.
                    The field must be namespaced according to Elasticsearch rules
                    using the dot syntax.
                    For example, ``""mdf.source_name""`` is the ``source_name`` field
                    of the ``mdf`` dictionary.
            new_group (bool): If ``True``, will separate the term into a new parenthetical group.
                    If ``False``, will not.
                    **Default:** ``False``.

        Returns:
            SearchHelper: Self","""Is there a function that checks if a specific field is not present in the search results, allowing for namespace notation and optional grouping?"""
"Return a UUID1 with a random multicast MAC id and with a timestamp
    matching the given datetime object or timestamp value.

    .. warning::
        This function does not consider the timezone, and is not guaranteed to
        return a unique UUID. Use under controlled conditions only.

    >>> dt = datetime.now()
    >>> u1 = uuid1mc()
    >>> u2 = uuid1mc_from_datetime(dt)
    >>> # Both timestamps should be very close to each other but not an exact match
    >>> u1.time > u2.time
    True
    >>> u1.time - u2.time < 5000
    True
    >>> d2 = datetime.fromtimestamp((u2.time - 0x01b21dd213814000) * 100 / 1e9)
    >>> d2 == dt
    True","""Is there a function that generates a UUID1 with a random multicast MAC id and a timestamp matching a given datetime or timestamp value?"""
"Parses the provided extended JSON string and decodes it into a T value as specified by the
provided class type. The type will decoded using the codec found for the type in the provided
codec registry. If the provided type is not supported by the provided codec registry, the
method will throw a {@link org.bson.codecs.configuration.CodecConfigurationException}.

@param json the JSON string to parse.
@param valueClass the class that the JSON string should be decoded into.
@param codecRegistry the codec registry to use to find the codec for the provided class.
@param <T> the type into which the JSON string is decoded.
@return the decoded value.","""Is there a function that can parse and decode an extended JSON string into a specified class type using a codec registry, and return the decoded value?"""
"Starts a new job of the specified type, if no such job is currently running.
<p>
The method will return immediately, without waiting for the job to complete.
<p>
If a job with same type is running, the response will have HTTP status 409 CONFLICT,
otherwise HTTP 204 NO CONTENT is returned, together with the response header 'Location',
containing the full URL of the running job.

@param jobType  the type of the started job
@param request  the HttpServletRequest used to determine the base URL
@param response the HttpServletResponse used to set the Location header
@throws IOException in case the job was not able to start properly (ie. conflict)","""Is there a function to start a new job of a specific type, returning immediately and providing the job's URL if successful?"""
"Convert an ellipse from sky to pixel coordinates.

        Parameters
        ----------
        pos : (float, float)
            The (ra, dec) of the ellipse center (degrees).
        a, b, pa: float
            The semi-major axis, semi-minor axis and position angle of the ellipse (degrees).

        Returns
        -------
        x,y : float
            The (x, y) pixel coordinates of the ellipse center.
        sx, sy : float
            The major and minor axes (FWHM) in pixels.
        theta : float
            The rotation angle of the ellipse (degrees).
            theta = 0 corresponds to the ellipse being aligned with the x-axis.","""Is there a function that converts the center position, size, and rotation angle of an ellipse from sky coordinates to pixel coordinates?"""
"API:
            simplex_compute_potentials(self, t, root)
        Description:
            Computes node potentials for a minimum cost flow problem and stores
            them as node attribute 'potential'. Based on pseudocode given in
            Network Flows by Ahuja et al.
        Pre:
            (1) Assumes a directed graph in which each arc has a 'cost'
            attribute.
            (2) Uses 'thread' and 'pred' attributes of nodes.
        Input:
            t: Current spanning tree solution, its type is Graph.
            root: root node of the tree.
        Post:
            Keeps the node potentials as 'potential' attribute.","""Is there a function that calculates node potentials for a minimum cost flow problem based on a given spanning tree, and stores them as node attributes?"""
"Publish a message to a given pubsub topic

        Publishing will publish the given payload (string) to
        everyone currently subscribed to the given topic.

        All data (including the id of the publisher) is automatically
        base64 encoded when published.

        .. code-block:: python

            # publishes the message 'message' to the topic 'hello'
            >>> c.pubsub_pub('hello', 'message')
            []

        Parameters
        ----------
        topic : str
            Topic to publish to
        payload : Data to be published to the given topic

        Returns
        -------
            list : empty list","""Is there a function that can publish a message to a specific topic in pubsub, automatically encoding the payload and returning an empty list?"""
"Strips whitespace from the start and end of a `string` returning an empty
`string` if `null` input.

This is similar to {@see trimToEmpty} but removes whitespace.

StringUtils::stripToEmpty(null);     // ''
StringUtils::stripToEmpty('');       // ''
StringUtils::stripToEmpty('   ');    // ''
StringUtils::stripToEmpty('abc');    // 'abc'
StringUtils::stripToEmpty('  abc');  // 'abc'
StringUtils::stripToEmpty('abc  ');  // 'abc'
StringUtils::stripToEmpty(' abc ');  // 'abc'
StringUtils::stripToEmpty(' ab c '); // 'ab c'

@param string $str The `string` to be stripped.

@return string The stripped `string` or an empty `string` if `null`
input.","""Is there a function that removes leading and trailing whitespace from a string, returning an empty string if the input is null?"""
"Returns the name and shape information of input and output tensors of the given ONNX model file.

    Notes
    -----
    This method is available when you ``import mxnet.contrib.onnx``

    Parameters
    ----------
    model_file : str
        ONNX model file name

    Returns
    -------
    model_metadata : dict
        A dictionary object mapping various metadata to its corresponding value.
        The dictionary will have the following template::

          'input_tensor_data' : list of tuples representing the shape of the input paramters
          'output_tensor_data' : list of tuples representing the shape of the output of the model","""Is there a function that retrieves the names and shapes of input and output tensors from an ONNX model file?"""
"Adds a statement to a topic's access control policy, granting
        access for the specified AWS accounts to the specified actions.

        :type topic: string
        :param topic: The ARN of the topic.

        :type label: string
        :param label: A unique identifier for the new policy statement.

        :type account_ids: list of strings
        :param account_ids: The AWS account ids of the users who will be
                            give access to the specified actions.

        :type actions: list of strings
        :param actions: The actions you want to allow for each of the
                        specified principal(s).","""Is there a function that adds a statement to a topic's access control policy, granting specified AWS accounts access to specified actions?"""
"Get the corresponding physical file path for a class or namespace name.

@param string $class The class name to locate the physical file for. If `$options['dirs']` is
set to `true`, `$class` may also be a namespace name, in which case the corresponding
directory will be located.
@param array $options Options for converting `$class` to a physical path:
- `'dirs'`: Defaults to `false`. If `true`, will attempt to case-sensitively look up
directories in addition to files (in which case `$class` is assumed to actually be a
namespace).
@return string Returns the absolute path to the file containing `$class`, or `null` if the
file cannot be found.","""Is there a function that can find the physical file path for a given class or namespace name, returning the absolute path or null if not found?"""
"Filters an array for paths matching a glob.

The filtered array is returned. This array preserves the keys of the
passed array.

```php
$filteredPaths = Glob::filter($paths, '/project/**.twig');
```

@param string[] $paths A list of paths.
@param string   $glob  The canonical glob. The glob should contain
forward slashes as directory separators only. It
must not contain any ""."" or "".."" segments. Use the
""webmozart/path-util"" utility to canonicalize
globs prior to calling this method.
@param int      $flags A bitwise combination of the flag constants in
this class.

@return string[] The paths matching the glob indexed by their original
keys.","""Is there a function that filters an array of paths based on a specified glob pattern, preserving the original keys?"""
"Subscribe to a topic and validate that the specified payload is
        received within timeout. It is required that a connection has been
        established using `Connect` keyword. The payload can be specified as
        a python regular expression. If the specified payload is not received
        within timeout, an AssertionError is thrown.

        `topic` topic to subscribe to

        `qos` quality of service for the subscription

        `payload` payload (message) that is expected to arrive

        `timeout` time to wait for the payload to arrive

        Examples:

        | Subscribe And Validate | test/test | 1 | test message |","""Is there a function that subscribes to a topic, validates a specified payload within a given timeout, and throws an AssertionError if the payload is not received?"""
"Export this element.

        Usage::

            engine = Engine('myfirewall')
            extask = engine.export(filename='fooexport.zip')
            while not extask.done():
                extask.wait(3)
            print(""Finished download task: %s"" % extask.message())
            print(""File downloaded to: %s"" % extask.filename)

        :param str filename: filename to store exported element
        :raises TaskRunFailed: invalid permissions, invalid directory, or this
            element is a system element and cannot be exported.
        :return: DownloadTask
        
        .. note:: It is not possible to export system elements","""Is there a function that allows me to export an element and download it as a file, given a filename? It should handle permissions and invalid directories, and return a DownloadTask."""
"Applies multihead attention function which is parametrised for encoding.

  Args:
    x: input
    hparams: model hyper-parameters
    encoder_self_attention_bias: a bias tensor for use in encoder self-attention
    attention_dropout_broadcast_dims: Fpr noise broadcasting in the dropout
      layers to save memory during training
    save_weights_to: an optional dictionary to capture attention weights for
      visualization; the weights tensor will be appended there under a string
      key created from the variable scope (including name).
    make_image_summary: Whether to make an attention image summary.

  Returns:
    the output tensor","""Is there a function that applies a multihead attention function with customizable parameters for encoding, returning the output tensor?"""
"Solves a one period consumption saving problem with risky income, with
        persistent income explicitly tracked as a state variable.

        Parameters
        ----------
        None

        Returns
        -------
        solution : ConsumerSolution
            The solution to the one period problem, including a consumption
            function (defined over market resources and persistent income), a
            marginal value function, bounding MPCs, and human wealth as a func-
            tion of persistent income.  Might also include a value function and
            marginal marginal value function, depending on options selected.","""Is there a function that solves a one period consumption saving problem with risky income, explicitly tracking persistent income as a state variable, and returns the solution including consumption function, marginal value function, bounding MPCs, and human wealth?"""
"Add a new utterance to the corpus with the given data.

        Parameters:
            track_idx (str): The track id the utterance is in.
            utterance_idx (str): The id to associate with the utterance.
                                 If None or already exists, one is generated.
            issuer_idx (str): The issuer id to associate with the utterance.
            start (float): Start of the utterance within the track [seconds].
            end (float): End of the utterance within the track [seconds].
                         ``inf`` equals the end of the track.

        Returns:
            Utterance: The newly added utterance.","""Is there a function that adds a new utterance to a corpus, using provided data such as track ID, utterance ID, issuer ID, start and end time?"
"Deletes the job from the project. If the job is active, the delete fails, and the response
returns `FAILED_PRECONDITION`.

<p>Sample code:

<pre><code>
try (JobControllerClient jobControllerClient = JobControllerClient.create()) {
String projectId = """";
String region = """";
String jobId = """";
jobControllerClient.deleteJob(projectId, region, jobId);
}
</code></pre>

@param projectId Required. The ID of the Google Cloud Platform project that the job belongs to.
@param region Required. The Cloud Dataproc region in which to handle the request.
@param jobId Required. The job ID.
@throws com.google.api.gax.rpc.ApiException if the remote call fails","""Is there a function that can delete a job from a project? It should fail if the job is active and return the appropriate response."""
"Return if tmux meets version requirement. Version >1.8 or above.

    Parameters
    ----------
    raises : bool
        raise exception if below minimum version requirement

    Returns
    -------
    bool
        True if tmux meets minimum required version.

    Raises
    ------
    libtmux.exc.VersionTooLow
        tmux version below minimum required for libtmux

    Notes
    -----

    .. versionchanged:: 0.7.0
        No longer returns version, returns True or False

    .. versionchanged:: 0.1.7
        Versions will now remove trailing letters per `Issue 55`_.

        .. _Issue 55: https://github.com/tmux-python/tmuxp/issues/55.","""Is there a function available to check if the installed tmux version meets the minimum requirement, and optionally raise an exception if it doesn't?"""
"Use this method to update a channel or a supergroup username.
        
        To update your own username (for users only, not bots) you can use :meth:`update_username`.

        Args:
            chat_id (``int`` | ``str``)
                Unique identifier (int) or username (str) of the target chat.
            username (``str`` | ``None``):
                Username to set. Pass """" (empty string) or None to remove the username.

        Returns:
            True on success.

        Raises:
            :class:`RPCError <pyrogram.RPCError>` in case of a Telegram RPC error.
            ``ValueError`` if a chat_id belongs to a user or chat.","""Is there a function available to update the username of a channel or a supergroup in Telegram? The function should take the chat ID and the new username as input and return True if successful."""
"Gets the specified {@link CloudJob}.

@param jobId The ID of the job to get.
@param detailLevel A {@link DetailLevel} used for controlling which properties are retrieved from the service.
@param additionalBehaviors A collection of {@link BatchClientBehavior} instances that are applied to the Batch service request.
@return A {@link CloudJob} containing information about the specified Azure Batch job.
@throws BatchErrorException Exception thrown when an error response is received from the Batch service.
@throws IOException Exception thrown when there is an error in serialization/deserialization of data sent to/received from the Batch service.","""Is there a function that retrieves information about a specified Azure Batch job, given the job ID, detail level, and additional behaviors?"""
"Monitor a linkage run and yield status updates. Will immediately yield an update and then
    only yield further updates when the status object changes. If a timeout is provided and the
    run hasn't entered a terminal state (error or completed) when the timeout is reached,
    updates will cease and a TimeoutError will be raised.

    :param server: Base url of the upstream server.
    :param project:
    :param run:
    :param apikey:
    :param timeout: Stop waiting after this many seconds. The default (None) is to never give you up.
    :param update_period: Time in seconds between queries to the run's status.
    :raises TimeoutError","""Could you provide a function that monitors a linkage run, yielding status updates only when there is a change, and raises a TimeoutError if the timeout is reached without entering a terminal state?"""
"Operation deleteFleetsFleetIdMembersMemberId

Kick fleet member

@param  int $fleetId ID for a fleet (required)
@param  int $memberId The character ID of a member in this fleet (required)
@param  string $datasource The server name you would like data from (optional, default to tranquility)
@param  string $token Access token to use if unable to set a header (optional)
@param  string $userAgent Client identifier, takes precedence over headers (optional)
@param  string $xUserAgent Client identifier, takes precedence over User-Agent (optional)

@throws \nullx27\ESI\ApiException on non-2xx response
@throws \InvalidArgumentException
@return void","""Is there a function that can remove a member from a fleet, given the fleet ID and member ID?"""
"Performs a POST request. Used for pretty much everything.

@todo
Replace the blob endpoint check with a more robust check for
application/octet-stream.

@param string $endpoint
The address of the resource being requested (e.g. '/update_snaps' or
'/friend').
@param array $data
An dictionary of values to send to the API. A request token is added
automatically.
@param array $params
An array containing the parameters used to generate the request token.
@param bool $multipart
If TRUE, sends the request as multipart/form-data. Defaults to FALSE.

@return mixed
The data returned from the API (decoded if JSON). Returns FALSE if
the request failed.","""Please provide a function that performs a POST request, allowing for various types of data, and returns the response from the API."""
"Round the number to a given precision. The first
    parameter specifies the precision (default is ``0``), the
    second the rounding method:

    - ``'common'`` rounds either up or down
    - ``'ceil'`` always rounds up
    - ``'floor'`` always rounds down

    If you don't specify a method ``'common'`` is used.

    .. sourcecode:: jinja

        {{ 42.55|round }}
            -> 43.0
        {{ 42.55|round(1, 'floor') }}
            -> 42.5

    Note that even if rounded to 0 precision, a float is returned.  If
    you need a real integer, pipe it through `int`:

    .. sourcecode:: jinja

        {{ 42.55|round|int }}
            -> 43","""Is there a function that can round a number to a specified precision, with options to choose the rounding method?"""
"Get suggestion examples that would improve the accuracy of the entity model.

@param appId The application ID.
@param versionId The version ID.
@param entityId The target entity extractor model to enhance.
@param getEntitySuggestionsOptionalParameter the object representing the optional parameters to be set before calling this API
@throws IllegalArgumentException thrown if parameters fail the validation
@throws ErrorResponseException thrown if the request is rejected by server
@throws RuntimeException all other wrapped checked exceptions if the request fails to be sent
@return the List&lt;EntitiesSuggestionExample&gt; object if successful.","""Is there a function that retrieves suggestion examples to improve the accuracy of an entity model? It requires the application ID, version ID, target entity ID, and optional parameters."""
"Add a configuration entry to this ingredient/experiment.

        Can be called with a filename, a dictionary xor with keyword arguments.
        Supported formats for the config-file so far are: ``json``, ``pickle``
        and ``yaml``.

        The resulting dictionary will be converted into a
         :class:`~sacred.config_scope.ConfigDict`.

        :param cfg_or_file: Configuration dictionary of filename of config file
                            to add to this ingredient/experiment.
        :type cfg_or_file: dict or str
        :param kw_conf: Configuration entries to be added to this
                        ingredient/experiment.","""Is there a function to add a configuration entry to an ingredient or experiment, using either a file or a dictionary as input?"""
"// GetSubmatch has to be used in Responders installed by
// RegisterRegexpResponder or RegisterResponder + ""=~"" URL prefix. It
// allows to retrieve the n-th submatch of the matching regexp, as a
// string. Example:
// 	RegisterResponder(""GET"", `=~^/item/name/([^/]+)\z`,
// 		func(req *http.Request) (*http.Response, error) {
// 			name, err := GetSubmatch(req, 1) // 1=first regexp submatch
// 			if err != nil {
// 				return nil, err
// 			}
// 			return NewJsonResponse(200, map[string]interface{}{
// 				""id"":   123,
// 				""name"": name,
// 			})
// 		})
//
// It panics if n < 1. See MustGetSubmatch to avoid testing the
// returned error.","""Is there a function that allows me to retrieve a specific submatch from a matching regular expression, and use it to generate a JSON response in an HTTP request?"""
"Set device state via online API.

        Args:
            device (WinkDevice): The device the change is being requested for.
            state (Dict): The state being requested.
            id_override (String, optional): A device ID used to override the
                passed in device's ID. Used to make changes on sub-devices.
                i.e. Outlet in a Powerstrip. The Parent device's ID.
            type_override (String, optional): Used to override the device type
                when a device inherits from a device other than WinkDevice.
        Returns:
            response_json (Dict): The API's response in dictionary format","""Is there a function that can set the state of a device via an online API, using a device object and the desired state as inputs?"""
"Calculate the exponentially-weighted mean of (daily) historical returns, giving
    higher weight to more recent data.

    :param prices: adjusted closing prices of the asset, each row is a date
                   and each column is a ticker/id.
    :type prices: pd.DataFrame
    :param frequency: number of time periods in a year, defaults to 252 (the number
                      of trading days in a year)
    :type frequency: int, optional
    :param span: the time-span for the EMA, defaults to 500-day EMA.
    :type span: int, optional
    :return: annualised exponentially-weighted mean (daily) return of each asset
    :rtype: pd.Series","""Is there a function that calculates the annualized exponentially-weighted mean return for each asset using historical daily returns, with higher weight given to more recent data?"""
"Get a 1:1 copy of the passed array using the passed number of array
elements starting at the specified index. Nested elements are not
deep-copied - the references are re-used!

@param aArray
The array to be copied.
@param nStartIndex
The index where the copying should start. Must be &gt;= 0!
@param nLength
The number of elements to be copied into the new array. May not be
&lt; 0. If the passed number of elements exceeds the number of
elements in the array, an exception is thrown.
@return <code>null</code> if the passed array is <code>null</code> - a non-
<code>null</code> copy otherwise.
@see System#arraycopy(Object, int, Object, int, int)","""Is there a function that creates a copy of an array, starting from a specified index and using a specified number of elements? It should handle cases where the array is null and throw an exception if the number of elements exceeds the array's length."""
